text,label,case folding,tokenizing,filtering,stemmed
kudo brave women turkey syria activ help dedic earthquak zone,positif,kudo brave women turkey syria activ help dedic earthquak zone,"['kudo', 'brave', 'women', 'turkey', 'syria', 'activ', 'help', 'dedic', 'earthquak', 'zone']","['kudo', 'brave', 'women', 'turkey', 'syria', 'activ', 'help', 'dedic', 'earthquak', 'zone']","['kudo', 'brave', 'women', 'turkey', 'syria', 'activ', 'help', 'dedic', 'earthquak', 'zone']"
shero wear cape wear apron go rais thousand pound turkey syria relief incred proud colleagu melek erdal,positif,shero wear cape wear apron go rais thousand pound turkey syria relief incred proud colleagu melek erdal,"['shero', 'wear', 'cape', 'wear', 'apron', 'go', 'rais', 'thousand', 'pound', 'turkey', 'syria', 'relief', 'incred', 'proud', 'colleagu', 'melek', 'erdal']","['shero', 'wear', 'cape', 'wear', 'apron', 'go', 'rais', 'thousand', 'pound', 'turkey', 'syria', 'relief', 'incred', 'proud', 'colleagu', 'melek', 'erdal']","['shero', 'wear', 'cape', 'wear', 'apron', 'go', 'rai', 'thousand', 'pound', 'turkey', 'syria', 'relief', 'incr', 'proud', 'colleagu', 'melek', 'erdal']"
turkey syria earthquak everyday misogyni carri post quak lifeworld,positif,turkey syria earthquak everyday misogyni carri post quak lifeworld,"['turkey', 'syria', 'earthquak', 'everyday', 'misogyni', 'carri', 'post', 'quak', 'lifeworld']","['turkey', 'syria', 'earthquak', 'everyday', 'misogyni', 'carri', 'post', 'quak', 'lifeworld']","['turkey', 'syria', 'earthquak', 'everyday', 'misogyni', 'carri', 'post', 'quak', 'lifeworld']"
help survivor turkey syria earthquak,negatif,help survivor turkey syria earthquak,"['help', 'survivor', 'turkey', 'syria', 'earthquak']","['help', 'survivor', 'turkey', 'syria', 'earthquak']","['help', 'survivor', 'turkey', 'syria', 'earthquak']"
around 50k estim death last month turkey syria earthquak,positif,around 50k estim death last month turkey syria earthquak,"['around', '50k', 'estim', 'death', 'last', 'month', 'turkey', 'syria', 'earthquak']","['around', '50k', 'estim', 'death', 'last', 'month', 'turkey', 'syria', 'earthquak']","['around', '50k', 'estim', 'death', 'last', 'month', 'turkey', 'syria', 'earthquak']"
princ princess wale visit thank involv aid effort fundrais help commun affect devast earthquak turkey syria,negatif,princ princess wale visit thank involv aid effort fundrais help commun affect devast earthquak turkey syria,"['princ', 'princess', 'wale', 'visit', 'thank', 'involv', 'aid', 'effort', 'fundrais', 'help', 'commun', 'affect', 'devast', 'earthquak', 'turkey', 'syria']","['princ', 'princess', 'wale', 'visit', 'thank', 'involv', 'aid', 'effort', 'fundrais', 'help', 'commun', 'affect', 'devast', 'earthquak', 'turkey', 'syria']","['princ', 'princess', 'wale', 'visit', 'thank', 'involv', 'aid', 'effort', 'fundrai', 'help', 'commun', 'affect', 'devast', 'earthquak', 'turkey', 'syria']"
new princ princess wale visit thank involv aid effort fundrais help commun affect devast earthquak turkey syria,negatif,new princ princess wale visit thank involv aid effort fundrais help commun affect devast earthquak turkey syria,"['new', 'princ', 'princess', 'wale', 'visit', 'thank', 'involv', 'aid', 'effort', 'fundrais', 'help', 'commun', 'affect', 'devast', 'earthquak', 'turkey', 'syria']","['new', 'princ', 'princess', 'wale', 'visit', 'thank', 'involv', 'aid', 'effort', 'fundrais', 'help', 'commun', 'affect', 'devast', 'earthquak', 'turkey', 'syria']","['new', 'princ', 'princess', 'wale', 'visit', 'thank', 'involv', 'aid', 'effort', 'fundrai', 'help', 'commun', 'affect', 'devast', 'earthquak', 'turkey', 'syria']"
cpw staff gener donat 1 080 turkey syria earthquak appeal well done team would like join us donat dec websit,negatif,cpw staff gener donat 1 080 turkey syria earthquak appeal well done team would like join us donat dec websit,"['cpw', 'staff', 'gener', 'donat', '1', '080', 'turkey', 'syria', 'earthquak', 'appeal', 'well', 'done', 'team', 'would', 'like', 'join', 'us', 'donat', 'dec', 'websit']","['cpw', 'staff', 'gener', 'donat', '1', '080', 'turkey', 'syria', 'earthquak', 'appeal', 'well', 'done', 'team', 'would', 'like', 'join', 'us', 'donat', 'dec', 'websit']","['cpw', 'staff', 'gener', 'donat', '1', '080', 'turkey', 'syria', 'earthquak', 'appeal', 'well', 'done', 'team', 'would', 'like', 'join', 'us', 'donat', 'dec', 'websit']"
princ princess wale prais amaz commun fundrais famili left homeless devast earthquak turkey syria,positif,princ princess wale prais amaz commun fundrais famili left homeless devast earthquak turkey syria,"['princ', 'princess', 'wale', 'prais', 'amaz', 'commun', 'fundrais', 'famili', 'left', 'homeless', 'devast', 'earthquak', 'turkey', 'syria']","['princ', 'princess', 'wale', 'prais', 'amaz', 'commun', 'fundrais', 'famili', 'left', 'homeless', 'devast', 'earthquak', 'turkey', 'syria']","['princ', 'princess', 'wale', 'prai', 'amaz', 'commun', 'fundrai', 'famili', 'left', 'homeless', 'devast', 'earthquak', 'turkey', 'syria']"
one month devast earthquak first hit million peopl affect rkiy msf partner local ngo contribut urgent need countri thread,positif,one month devast earthquak first hit million peopl affect rkiy msf partner local ngo contribut urgent need countri thread,"['one', 'month', 'devast', 'earthquak', 'first', 'hit', 'million', 'peopl', 'affect', 'rkiy', 'msf', 'partner', 'local', 'ngo', 'contribut', 'urgent', 'need', 'countri', 'thread']","['one', 'month', 'devast', 'earthquak', 'first', 'hit', 'million', 'peopl', 'affect', 'rkiy', 'msf', 'partner', 'local', 'ngo', 'contribut', 'urgent', 'need', 'countri', 'thread']","['one', 'month', 'devast', 'earthquak', 'first', 'hit', 'million', 'peopl', 'affect', 'rkiy', 'msf', 'partner', 'local', 'ngo', 'contribut', 'urgent', 'need', 'countri', 'thread']"
princ princess wale visit hay muslim centr thank involv aid effort fundrais help commun affect devast earthquak turkey syria,negatif,princ princess wale visit hay muslim centr thank involv aid effort fundrais help commun affect devast earthquak turkey syria,"['princ', 'princess', 'wale', 'visit', 'hay', 'muslim', 'centr', 'thank', 'involv', 'aid', 'effort', 'fundrais', 'help', 'commun', 'affect', 'devast', 'earthquak', 'turkey', 'syria']","['princ', 'princess', 'wale', 'visit', 'hay', 'muslim', 'centr', 'thank', 'involv', 'aid', 'effort', 'fundrais', 'help', 'commun', 'affect', 'devast', 'earthquak', 'turkey', 'syria']","['princ', 'princess', 'wale', 'visit', 'hay', 'muslim', 'centr', 'thank', 'involv', 'aid', 'effort', 'fundrai', 'help', 'commun', 'affect', 'devast', 'earthquak', 'turkey', 'syria']"
fundrais activ campus support earthquak victim turkey syria read,negatif,fundrais activ campus support earthquak victim turkey syria read,"['fundrais', 'activ', 'campus', 'support', 'earthquak', 'victim', 'turkey', 'syria', 'read']","['fundrais', 'activ', 'campus', 'support', 'earthquak', 'victim', 'turkey', 'syria', 'read']","['fundrai', 'activ', 'campu', 'support', 'earthquak', 'victim', 'turkey', 'syria', 'read']"
special agenc continu deliv aid follow devast feb 6 quak kill 53 300 peopl two countri farhan haq deputi spokesman un chief,positif,special agenc continu deliv aid follow devast feb 6 quak kill 53 300 peopl two countri farhan haq deputi spokesman un chief,"['special', 'agenc', 'continu', 'deliv', 'aid', 'follow', 'devast', 'feb', '6', 'quak', 'kill', '53', '300', 'peopl', 'two', 'countri', 'farhan', 'haq', 'deputi', 'spokesman', 'un', 'chief']","['special', 'agenc', 'continu', 'deliv', 'aid', 'follow', 'devast', 'feb', '6', 'quak', 'kill', '53', '300', 'peopl', 'two', 'countri', 'farhan', 'haq', 'deputi', 'spokesman', 'un', 'chief']","['special', 'agenc', 'continu', 'deliv', 'aid', 'follow', 'devast', 'feb', '6', 'quak', 'kill', '53', '300', 'peopl', 'two', 'countri', 'farhan', 'haq', 'deputi', 'spokesman', 'un', 'chief']"
bt singer popular k pop band bt suga jimin j hope donat gener help victim impact turkey syria earthquak,negatif,bt singer popular k pop band bt suga jimin j hope donat gener help victim impact turkey syria earthquak,"['bt', 'singer', 'popular', 'k', 'pop', 'band', 'bt', 'suga', 'jimin', 'j', 'hope', 'donat', 'gener', 'help', 'victim', 'impact', 'turkey', 'syria', 'earthquak']","['bt', 'singer', 'popular', 'k', 'pop', 'band', 'bt', 'suga', 'jimin', 'j', 'hope', 'donat', 'gener', 'help', 'victim', 'impact', 'turkey', 'syria', 'earthquak']","['bt', 'singer', 'popular', 'k', 'pop', 'band', 'bt', 'suga', 'jimin', 'j', 'hope', 'donat', 'gener', 'help', 'victim', 'impact', 'turkey', 'syria', 'earthquak']"
magnitud 4 8 earthquak shook citi kayseri turkey,positif,magnitud 4 8 earthquak shook citi kayseri turkey,"['magnitud', '4', '8', 'earthquak', 'shook', 'citi', 'kayseri', 'turkey']","['magnitud', '4', '8', 'earthquak', 'shook', 'citi', 'kayseri', 'turkey']","['magnitud', '4', '8', 'earthquak', 'shook', 'citi', 'kayseri', 'turkey']"
need containerhous pleas save live tent,negatif,need containerhous pleas save live tent,"['need', 'containerhous', 'pleas', 'save', 'live', 'tent']","['need', 'containerhous', 'pleas', 'save', 'live', 'tent']","['need', 'containerh', 'plea', 'save', 'live', 'tent']"
deepli depress report failur get emerg support aid nw huge intern failur dispar aid alreadi war torn,positif,deepli depress report failur get emerg support aid nw huge intern failur dispar aid alreadi war torn,"['deepli', 'depress', 'report', 'failur', 'get', 'emerg', 'support', 'aid', 'nw', 'huge', 'intern', 'failur', 'dispar', 'aid', 'alreadi', 'war', 'torn']","['deepli', 'depress', 'report', 'failur', 'get', 'emerg', 'support', 'aid', 'nw', 'huge', 'intern', 'failur', 'dispar', 'aid', 'alreadi', 'war', 'torn']","['deepli', 'depress', 'report', 'failur', 'get', 'emerg', 'support', 'aid', 'nw', 'huge', 'intern', 'failur', 'dispar', 'aid', 'alreadi', 'war', 'torn']"
turkey syria earthquak relief thank much pick edit pray help feed someon proce collect go directli ngo alt text deet,negatif,turkey syria earthquak relief thank much pick edit pray help feed someon proce collect go directli ngo alt text deet,"['turkey', 'syria', 'earthquak', 'relief', 'thank', 'much', 'pick', 'edit', 'pray', 'help', 'feed', 'someon', 'proce', 'collect', 'go', 'directli', 'ngo', 'alt', 'text', 'deet']","['turkey', 'syria', 'earthquak', 'relief', 'thank', 'much', 'pick', 'edit', 'pray', 'help', 'feed', 'someon', 'proce', 'collect', 'go', 'directli', 'ngo', 'alt', 'text', 'deet']","['turkey', 'syria', 'earthquak', 'relief', 'thank', 'much', 'pick', 'edit', 'pray', 'help', 'feed', 'someon', 'proce', 'collect', 'go', 'directli', 'ngo', 'alt', 'text', 'deet']"
new song recent un estim 1 5million peopl made homeless pleas continu give gener need massiv link comment,positif,new song recent un estim 1 5million peopl made homeless pleas continu give gener need massiv link comment,"['new', 'song', 'recent', 'un', 'estim', '1', '5million', 'peopl', 'made', 'homeless', 'pleas', 'continu', 'give', 'gener', 'need', 'massiv', 'link', 'comment']","['new', 'song', 'recent', 'un', 'estim', '1', '5million', 'peopl', 'made', 'homeless', 'pleas', 'continu', 'give', 'gener', 'need', 'massiv', 'link', 'comment']","['new', 'song', 'recent', 'un', 'estim', '1', '5million', 'peopl', 'made', 'homeless', 'plea', 'continu', 'give', 'gener', 'need', 'massiv', 'link', 'comment']"
want congratul ccn sultan rais money disast relief turkey syria cook bake made 664 proud sultan,positif,want congratul ccn sultan rais money disast relief turkey syria cook bake made 664 proud sultan,"['want', 'congratul', 'ccn', 'sultan', 'rais', 'money', 'disast', 'relief', 'turkey', 'syria', 'cook', 'bake', 'made', '664', 'proud', 'sultan']","['want', 'congratul', 'ccn', 'sultan', 'rais', 'money', 'disast', 'relief', 'turkey', 'syria', 'cook', 'bake', 'made', '664', 'proud', 'sultan']","['want', 'congratul', 'ccn', 'sultan', 'rai', 'money', 'disast', 'relief', 'turkey', 'syria', 'cook', 'bake', 'made', '664', 'proud', 'sultan']"
today mark fundrais survivor earthquak devast turkey syria women present close famili friend affect read women stand togeth solidar sisterhood,positif,today mark fundrais survivor earthquak devast turkey syria women present close famili friend affect read women stand togeth solidar sisterhood,"['today', 'mark', 'fundrais', 'survivor', 'earthquak', 'devast', 'turkey', 'syria', 'women', 'present', 'close', 'famili', 'friend', 'affect', 'read', 'women', 'stand', 'togeth', 'solidar', 'sisterhood']","['today', 'mark', 'fundrais', 'survivor', 'earthquak', 'devast', 'turkey', 'syria', 'women', 'present', 'close', 'famili', 'friend', 'affect', 'read', 'women', 'stand', 'togeth', 'solidar', 'sisterhood']","['today', 'mark', 'fundrai', 'survivor', 'earthquak', 'devast', 'turkey', 'syria', 'women', 'present', 'close', 'famili', 'friend', 'affect', 'read', 'women', 'stand', 'togeth', 'solidar', 'sisterhood']"
quak death toll near 48 000 turkey 6 000 syria call toll free text 833 obitguy 833 624 8489,negatif,quak death toll near 48 000 turkey 6 000 syria call toll free text 833 obitguy 833 624 8489,"['quak', 'death', 'toll', 'near', '48', '000', 'turkey', '6', '000', 'syria', 'call', 'toll', 'free', 'text', '833', 'obitguy', '833', '624', '8489']","['quak', 'death', 'toll', 'near', '48', '000', 'turkey', '6', '000', 'syria', 'call', 'toll', 'free', 'text', '833', 'obitguy', '833', '624', '8489']","['quak', 'death', 'toll', 'near', '48', '000', 'turkey', '6', '000', 'syria', 'call', 'toll', 'free', 'text', '833', 'obitguy', '833', '624', '8489']"
devast kill 50 000 caus resid turkey largest citi question whether prepar major earthquak,negatif,devast kill 50 000 caus resid turkey largest citi question whether prepar major earthquak,"['devast', 'kill', '50', '000', 'caus', 'resid', 'turkey', 'largest', 'citi', 'question', 'whether', 'prepar', 'major', 'earthquak']","['devast', 'kill', '50', '000', 'caus', 'resid', 'turkey', 'largest', 'citi', 'question', 'whether', 'prepar', 'major', 'earthquak']","['devast', 'kill', '50', '000', 'cau', 'resid', 'turkey', 'largest', 'citi', 'question', 'whether', 'prepar', 'major', 'earthquak']"
55000 plu death turkey syria earthquak 230 000 build destroy make one deadliest natur disast modern histori deadliest region sinc 526ad happen sever week ago,negatif,55000 plu death turkey syria earthquak 230 000 build destroy make one deadliest natur disast modern histori deadliest region sinc 526ad happen sever week ago,"['55000', 'plu', 'death', 'turkey', 'syria', 'earthquak', '230', '000', 'build', 'destroy', 'make', 'one', 'deadliest', 'natur', 'disast', 'modern', 'histori', 'deadliest', 'region', 'sinc', '526ad', 'happen', 'sever', 'week', 'ago']","['55000', 'plu', 'death', 'turkey', 'syria', 'earthquak', '230', '000', 'build', 'destroy', 'make', 'one', 'deadliest', 'natur', 'disast', 'modern', 'histori', 'deadliest', 'region', 'sinc', '526ad', 'happen', 'sever', 'week', 'ago']","['55000', 'plu', 'death', 'turkey', 'syria', 'earthquak', '230', '000', 'build', 'destroy', 'make', 'one', 'deadliest', 'natur', 'disast', 'modern', 'histori', 'deadliest', 'region', 'sinc', '526ad', 'happen', 'sever', 'week', 'ago']"
turkey syria earthquak direct donat via bank account bank name lloyd account number 88571863 sort code 30 98 97 contact 07378773818 leicest 07981207279 london,negatif,turkey syria earthquak direct donat via bank account bank name lloyd account number 88571863 sort code 30 98 97 contact 07378773818 leicest 07981207279 london,"['turkey', 'syria', 'earthquak', 'direct', 'donat', 'via', 'bank', 'account', 'bank', 'name', 'lloyd', 'account', 'number', '88571863', 'sort', 'code', '30', '98', '97', 'contact', '07378773818', 'leicest', '07981207279', 'london']","['turkey', 'syria', 'earthquak', 'direct', 'donat', 'via', 'bank', 'account', 'bank', 'name', 'lloyd', 'account', 'number', '88571863', 'sort', 'code', '30', '98', '97', 'contact', '07378773818', 'leicest', '07981207279', 'london']","['turkey', 'syria', 'earthquak', 'direct', 'donat', 'via', 'bank', 'account', 'bank', 'name', 'lloyd', 'account', 'number', '88571863', 'sort', 'code', '30', '98', '97', 'contact', '07378773818', 'leicest', '07981207279', 'london']"
today 4 3 ceyhan adana week 4 8 rtyol hatay month 6 3 uzunba hatay year 7 8 nurda gaziantep,positif,today 4 3 ceyhan adana week 4 8 rtyol hatay month 6 3 uzunba hatay year 7 8 nurda gaziantep,"['today', '4', '3', 'ceyhan', 'adana', 'week', '4', '8', 'rtyol', 'hatay', 'month', '6', '3', 'uzunba', 'hatay', 'year', '7', '8', 'nurda', 'gaziantep']","['today', '4', '3', 'ceyhan', 'adana', 'week', '4', '8', 'rtyol', 'hatay', 'month', '6', '3', 'uzunba', 'hatay', 'year', '7', '8', 'nurda', 'gaziantep']","['today', '4', '3', 'ceyhan', 'adana', 'week', '4', '8', 'rtyol', 'hatay', 'month', '6', '3', 'uzunba', 'hatay', 'year', '7', '8', 'nurda', 'gaziantep']"
rkiy syria quak migrat chief hail proud brave citizen antakya,negatif,rkiy syria quak migrat chief hail proud brave citizen antakya,"['rkiy', 'syria', 'quak', 'migrat', 'chief', 'hail', 'proud', 'brave', 'citizen', 'antakya']","['rkiy', 'syria', 'quak', 'migrat', 'chief', 'hail', 'proud', 'brave', 'citizen', 'antakya']","['rkiy', 'syria', 'quak', 'migrat', 'chief', 'hail', 'proud', 'brave', 'citizen', 'antakya']"
confirm 55 100 death turkey syria earthquak 230 000 build destroy make one deadliest natur disast modern histori deadliest region sinc 526ad yet nobodi west mention anymor,positif,confirm 55 100 death turkey syria earthquak 230 000 build destroy make one deadliest natur disast modern histori deadliest region sinc 526ad yet nobodi west mention anymor,"['confirm', '55', '100', 'death', 'turkey', 'syria', 'earthquak', '230', '000', 'build', 'destroy', 'make', 'one', 'deadliest', 'natur', 'disast', 'modern', 'histori', 'deadliest', 'region', 'sinc', '526ad', 'yet', 'nobodi', 'west', 'mention', 'anymor']","['confirm', '55', '100', 'death', 'turkey', 'syria', 'earthquak', '230', '000', 'build', 'destroy', 'make', 'one', 'deadliest', 'natur', 'disast', 'modern', 'histori', 'deadliest', 'region', 'sinc', '526ad', 'yet', 'nobodi', 'west', 'mention', 'anymor']","['confirm', '55', '100', 'death', 'turkey', 'syria', 'earthquak', '230', '000', 'build', 'destroy', 'make', 'one', 'deadliest', 'natur', 'disast', 'modern', 'histori', 'deadliest', 'region', 'sinc', '526ad', 'yet', 'nobodi', 'west', 'mention', 'anymor']"
direct govern khyber pakhtunkhwa 8 000 relief earthquak victim turkey syria left port qasim instruct provinci govern 20 thousand standard consent purchas,negatif,direct govern khyber pakhtunkhwa 8 000 relief earthquak victim turkey syria left port qasim instruct provinci govern 20 thousand standard consent purchas,"['direct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim', 'instruct', 'provinci', 'govern', '20', 'thousand', 'standard', 'consent', 'purchas']","['direct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim', 'instruct', 'provinci', 'govern', '20', 'thousand', 'standard', 'consent', 'purchas']","['direct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim', 'instruct', 'provinci', 'govern', '20', 'thousand', 'standard', 'consent', 'purcha']"
monologu written rais money earthquak turkey syria could vote pleas,positif,monologu written rais money earthquak turkey syria could vote pleas,"['monologu', 'written', 'rais', 'money', 'earthquak', 'turkey', 'syria', 'could', 'vote', 'pleas']","['monologu', 'written', 'rais', 'money', 'earthquak', 'turkey', 'syria', 'could', 'vote', 'pleas']","['monologu', 'written', 'rai', 'money', 'earthquak', 'turkey', 'syria', 'could', 'vote', 'plea']"
payzon retail encourag custom donat turkey syria earthquak appeal display poster store let custom know donat store use payzon devic find,positif,payzon retail encourag custom donat turkey syria earthquak appeal display poster store let custom know donat store use payzon devic find,"['payzon', 'retail', 'encourag', 'custom', 'donat', 'turkey', 'syria', 'earthquak', 'appeal', 'display', 'poster', 'store', 'let', 'custom', 'know', 'donat', 'store', 'use', 'payzon', 'devic', 'find']","['payzon', 'retail', 'encourag', 'custom', 'donat', 'turkey', 'syria', 'earthquak', 'appeal', 'display', 'poster', 'store', 'let', 'custom', 'know', 'donat', 'store', 'use', 'payzon', 'devic', 'find']","['payzon', 'retail', 'encourag', 'custom', 'donat', 'turkey', 'syria', 'earthquak', 'appeal', 'display', 'poster', 'store', 'let', 'custom', 'know', 'donat', 'store', 'use', 'payzon', 'devic', 'find']"
updat offici death toll past 48 000 48 448 includ 6 660 peopl foreign descent mostli presum refuge photo,positif,updat offici death toll past 48 000 48 448 includ 6 660 peopl foreign descent mostli presum refuge photo,"['updat', 'offici', 'death', 'toll', 'past', '48', '000', '48', '448', 'includ', '6', '660', 'peopl', 'foreign', 'descent', 'mostli', 'presum', 'refuge', 'photo']","['updat', 'offici', 'death', 'toll', 'past', '48', '000', '48', '448', 'includ', '6', '660', 'peopl', 'foreign', 'descent', 'mostli', 'presum', 'refuge', 'photo']","['updat', 'offici', 'death', 'toll', 'past', '48', '000', '48', '448', 'includ', '6', '660', 'peopl', 'foreign', 'descent', 'mostli', 'presum', 'refug', 'photo']"
1 2 direct govern khyber pakhtunkhwa 8 000 relief earthquak victim turkey syria left port qasim instruct provinci govern 20 thousand standard consent purchas,negatif,1 2 direct govern khyber pakhtunkhwa 8 000 relief earthquak victim turkey syria left port qasim instruct provinci govern 20 thousand standard consent purchas,"['1', '2', 'direct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim', 'instruct', 'provinci', 'govern', '20', 'thousand', 'standard', 'consent', 'purchas']","['1', '2', 'direct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim', 'instruct', 'provinci', 'govern', '20', 'thousand', 'standard', 'consent', 'purchas']","['1', '2', 'direct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim', 'instruct', 'provinci', 'govern', '20', 'thousand', 'standard', 'consent', 'purcha']"
instruct govt kp 8 000 raze quilter sent port qasim earthquak victim turkey syria,positif,instruct govt kp 8 000 raze quilter sent port qasim earthquak victim turkey syria,"['instruct', 'govt', 'kp', '8', '000', 'raze', 'quilter', 'sent', 'port', 'qasim', 'earthquak', 'victim', 'turkey', 'syria']","['instruct', 'govt', 'kp', '8', '000', 'raze', 'quilter', 'sent', 'port', 'qasim', 'earthquak', 'victim', 'turkey', 'syria']","['instruct', 'govt', 'kp', '8', '000', 'raze', 'quilter', 'sent', 'port', 'qasim', 'earthquak', 'victim', 'turkey', 'syria']"
direct govern khyber pakhtunkhwa 8 000 relief earthquak victim turkey syria left port qasim,negatif,direct govern khyber pakhtunkhwa 8 000 relief earthquak victim turkey syria left port qasim,"['direct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim']","['direct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim']","['direct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim']"
way ngo handl first respons earthquak disast turkey syria impress midst mayhem set logist infrastructur medic aid food shelter million peopl,negatif,way ngo handl first respons earthquak disast turkey syria impress midst mayhem set logist infrastructur medic aid food shelter million peopl,"['way', 'ngo', 'handl', 'first', 'respons', 'earthquak', 'disast', 'turkey', 'syria', 'impress', 'midst', 'mayhem', 'set', 'logist', 'infrastructur', 'medic', 'aid', 'food', 'shelter', 'million', 'peopl']","['way', 'ngo', 'handl', 'first', 'respons', 'earthquak', 'disast', 'turkey', 'syria', 'impress', 'midst', 'mayhem', 'set', 'logist', 'infrastructur', 'medic', 'aid', 'food', 'shelter', 'million', 'peopl']","['way', 'ngo', 'handl', 'first', 'respon', 'earthquak', 'disast', 'turkey', 'syria', 'impress', 'midst', 'mayhem', 'set', 'logist', 'infrastructur', 'medic', 'aid', 'food', 'shelter', 'million', 'peopl']"
instruct khyber pakhtunkhwa govern 8 000 quilt earthquak victim turkey syria left port qasim 20 000 standard quilt procur instruct provinci govern,negatif,instruct khyber pakhtunkhwa govern 8 000 quilt earthquak victim turkey syria left port qasim 20 000 standard quilt procur instruct provinci govern,"['instruct', 'khyber', 'pakhtunkhwa', 'govern', '8', '000', 'quilt', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim', '20', '000', 'standard', 'quilt', 'procur', 'instruct', 'provinci', 'govern']","['instruct', 'khyber', 'pakhtunkhwa', 'govern', '8', '000', 'quilt', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim', '20', '000', 'standard', 'quilt', 'procur', 'instruct', 'provinci', 'govern']","['instruct', 'khyber', 'pakhtunkhwa', 'govern', '8', '000', 'quilt', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim', '20', '000', 'standard', 'quilt', 'procur', 'instruct', 'provinci', 'govern']"
accord reuter articl post march 12 54 000 peopl die recent earthquak syria rkiy report also state 115 000 injur million left homeless,negatif,accord reuter articl post march 12 54 000 peopl die recent earthquak syria rkiy report also state 115 000 injur million left homeless,"['accord', 'reuter', 'articl', 'post', 'march', '12', '54', '000', 'peopl', 'die', 'recent', 'earthquak', 'syria', 'rkiy', 'report', 'also', 'state', '115', '000', 'injur', 'million', 'left', 'homeless']","['accord', 'reuter', 'articl', 'post', 'march', '12', '54', '000', 'peopl', 'die', 'recent', 'earthquak', 'syria', 'rkiy', 'report', 'also', 'state', '115', '000', 'injur', 'million', 'left', 'homeless']","['accord', 'reuter', 'articl', 'post', 'march', '12', '54', '000', 'peopl', 'die', 'recent', 'earthquak', 'syria', 'rkiy', 'report', 'also', 'state', '115', '000', 'injur', 'million', 'left', 'homeless']"
live 7 day purchas print photograph 200 support earthquak relief effort turkey syria,negatif,live 7 day purchas print photograph 200 support earthquak relief effort turkey syria,"['live', '7', 'day', 'purchas', 'print', 'photograph', '200', 'support', 'earthquak', 'relief', 'effort', 'turkey', 'syria']","['live', '7', 'day', 'purchas', 'print', 'photograph', '200', 'support', 'earthquak', 'relief', 'effort', 'turkey', 'syria']","['live', '7', 'day', 'purcha', 'print', 'photograph', '200', 'support', 'earthquak', 'relief', 'effort', 'turkey', 'syria']"
instruct govern khyber pakhtunkhwa 8 000 relief earthquak victim turkey syria left port qasim,positif,instruct govern khyber pakhtunkhwa 8 000 relief earthquak victim turkey syria left port qasim,"['instruct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim']","['instruct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim']","['instruct', 'govern', 'khyber', 'pakhtunkhwa', '8', '000', 'relief', 'earthquak', 'victim', 'turkey', 'syria', 'left', 'port', 'qasim']"
team need help everywher will everi save live,negatif,team need help everywher will everi save live,"['team', 'need', 'help', 'everywher', 'will', 'everi', 'save', 'live']","['team', 'need', 'help', 'everywher', 'everi', 'save', 'live']","['team', 'need', 'help', 'everywh', 'everi', 'save', 'live']"
direct khyber pakhtunkhwa govern 8 000 blanket sent earthquak affect peopl turkey syria port qasim,positif,direct khyber pakhtunkhwa govern 8 000 blanket sent earthquak affect peopl turkey syria port qasim,"['direct', 'khyber', 'pakhtunkhwa', 'govern', '8', '000', 'blanket', 'sent', 'earthquak', 'affect', 'peopl', 'turkey', 'syria', 'port', 'qasim']","['direct', 'khyber', 'pakhtunkhwa', 'govern', '8', '000', 'blanket', 'sent', 'earthquak', 'affect', 'peopl', 'turkey', 'syria', 'port', 'qasim']","['direct', 'khyber', 'pakhtunkhwa', 'govern', '8', '000', 'blanket', 'sent', 'earthquak', 'affect', 'peopl', 'turkey', 'syria', 'port', 'qasim']"
